Artist,Track,Track ID,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Dan Auerbach,Keep It Hid,"015bRTG1bQfOvhnLVtgljP
",0.08492063492063492,0.27777777777777773,0,0.10555555555555556,0,0.25,0.13472222222222224,0.3333333333333333,0.16666666666666666,0.5
Madlib,Slims Return,"2P5mABk27DkOT8Gi2NbTpO
",0.375,0.2,0.2,0.25,0.2,0.2,0.25,0,0.2,0.375
Broken Bells,The Ghost Inside,"32fmQsWSAaDas2MJRyMSGG
",0.025437543039384555,0.071698082010582,0.1722222222222222,0.07821759259259259,0.3333333333333333,0.053067129629629624,0.05523148148148148,0.13472222222222222,0.09305555555555556,0.049582650385023075
The Dramatics,Whatcha See Is Whatcha Get,"14MN0kzWGgODPoRql1eWT8
",0.031341858267725675,0.17708333333333334,0.375,0.2,0.25,0.25,0.061288488389182834,0.25,0.2,0.044657856466450215
Outsiders Burn In Noise,Burning Out,"1roWzTekaQd1CfHHgSuGXa
",,,,,,,,,,
Maga Bo Rosangela Macedo Marcelo Yuka,No Balanco da Canoa,"6lVYkBqtEnCh6KO3OABQPT
",,,,,,,,,,
The New Mastersounds Corinne Bailey Rae,Your Love Is Mine featuring Corinne Bailey Rae,"0sGFsWPYyhN4X9LKT1EiOv
",,,,,,,,,,
Kutiman Sefi Ramirez Yair Slutsky Shlomi Alon,White Monkey,"3yd31HK9riAAJ8yD3MY2bZ
",,,,,,,,,,
Bob James,Take Me to the Mardi Gras,"1xjyVZWYENCKHt7W11O1R7
",,,,,,,,,,
The Mouse Outfit Truthos Mufasa Black Josh,Sit Back,"4bqTcIQAj0aqqyS5LzMVPx
",,,,,,,,,,
Elmore James,The Sky Is Crying,"1cRTAPP2FG9h2WiYMOIVIK
",0.06474387700518498,0.06504464285714286,0.05416666666666667,0.08333333333333333,0.05416666666666667,0.05416666666666667,0.05017480359147026,0.07515873015873016,0.08333333333333333,0.11583333333333332
Count Basie,Stompin and Jumpin,"7bakVcacZN8wXGoz8DH3Ae
",,,,,,,,,,
Zen Mechanics,Off The Grid,"7MWCeOkG9BOaARTuyam8S2
",,,,,,,,,,
Tyga,Rack City,"21nFIDqoD1L7ELsprVSzOR
",0.0863260582010582,0.0016596125632234945,0.0030776632672642806,0.20833333333333331,0.00312577563944251,0.003175416563763163,0.1701388888888889,0.001701978424524702,0.16666666666666666,0.0863260582010582
AWOLNATION,Sail,"5N7d8uxMeuO4HdncbkuhSB
",0.08658730158730159,0.07268518518518519,0.2222222222222222,0.2,0.1388888888888889,0.3333333333333333,0.08658730158730159,0.21041666666666667,0.2,0.6
Son House,Death Letter Blues,"0W0euvQlhbcsTydzsD4EQk
",0.027869538121785626,0.07694444444444444,0.2,0.018352894854630968,0.2,0.2,0.04199060703314176,0.1331200396825397,0.04838293650793651,0.03871361485461188
Atmos,Defending Team,"0u1OlFCLiFnMaLtQye0Y0e
",,,,,,,,,,
Dan Auerbach,Goin Home,"5m2iDQBzhKQcXhvBbH7w8o
",0.08029478458049887,0.35714285714285715,0.15476190476190474,0.1436295351473923,0.14285714285714285,0.17142857142857143,0.11333333333333333,0.14285714285714285,0.11428571428571428,0.10476190476190476
The Bryan Ferry Orchestra,Do the Strand,"20bccw6dHSYKaZdA9xIqCF
",,,,,,,,,,
